Statistic,Value,95% CI
Pooled Odds Ratio,1.89,"[1.48, 2.41]"
Heterogeneity (I²),4.0%,N/A
Cochran's Q,3.13,p = 0.373
Between-study variance (τ²),0.0026,N/A
Number of effect sizes,4,N/A
