Category,Genes
Cytokines,"TNF, IL1B, IL6, IL8, CCL2, CXCL10"
Prrs,"NOD2, TLR2, TLR4, DECTIN1, MINCLE"
Metabolism,"HK2, PKM, LDHA, PFKFB3, SLC2A1, MTOR, AKT1"
Epigenetic,"KMT2A, KMT2B, SETD1A, ASH2L, WDR5"
Tfs,"STAT1, IRF1, IRF7, NFKB1, ATF3, HIF1A"
